Party,Item Name,Lot No,Issue No,Issue Date,Issue Shade,Rect Shade,Remarks,Op Qty,Issue Qty,Receipt Qty,Shortage,Short Per,Balance,Op Rolls,Issue Rolls,Rect Rolls,Grey Rolls,Balance Rolls,Std Short Per,Std Shortage
AT,KORA TAPE,MH-4332,1187,27-Mar-26,KHAKHI,,,30.10,,,,,30.10,4,,,,4,,
AT,KORA TAPE,MH-4335,1187,27-Mar-26,NAVY,,,28.20,,,,,28.20,2,,,,2,,
AT,KORA TAPE,MH-4337,1187,27-Mar-26,WHITE,,,29.00,,,,,29.00,2,,,,2,,
AT,KORA TAPE,MH-4344,1187,27-Mar-26,ROYAL,,,8.30,,,,,8.30,1,,,,1,,
AT,KORA TAPE,MH-4347,1187,27-Mar-26,BLACK,,,42.65,,,,,42.65,5,,,,5,,
AT,FABRIC MH LYCRA MATTY,MH-4373,1200,10-Apr-26,OLIVE,,,500.80,,,,,500.80,20,,,,20,,
AT,FABRIC MH LYCRA SINKER,MH-4230,1164,6-Mar-26,BLUE,,,507.60,,,,,507.60,20,,,,20,,
AT,KORA TAPE,MH-4331,1187,27-Mar-26,BLACK,,,14.1,,,,,14.1,1,,,,1,,
AT,KORA COLLAR,MH-4338,1187,27-Mar-26,NAVY,,,18.40,,,,,18.40,1,,,,1,,
AT,KORA TAPE,MH-4343,1187,27-Mar-26,WHITE,,,8.45,,,,,8.45,2,,,,2,,
AT,KORA COLLAR,MH-4346,1187,27-Mar-26,CREAM,,,10.65,,,,,10.65,3,,,,3,,
AT,KORA TAPE,MH-4348,1187,27-Mar-26,NAVY,,,25.20,,,,,25.20,3,,,,3,,
AT,FABRIC MH PLAIN PIQUE NON-LYCRA,MH-1393,511,27-Nov-23,D NAVY,D NAVY,MERCERISE 20645,22.75,,,,,22.75,1,,,,1,,
AT,COLLAR,MH-4375,1211,22-Apr-26,CK TONE,,,37.10,,,,,37.10,2,,,,2,,
AT,RIB 1/1,MH-4232,1164,6-Mar-26,NAVY,,,25.65,,,,,25.65,1,,,,1,,
AT,KORA COLLAR,MH-4328,1187,27-Mar-26,OFF WHITE,,,33.95,,,,,33.95,4,,,,4,,
AT,KORA COLLAR,MH-4329,1187,27-Mar-26,RED,,,17.00,,,,,17.00,1,,,,1,,
AT,KORA COLLAR,MH-4332,1187,27-Mar-26,KHAKHI,,,34,,,,,34,4,,,,4,,
AT,KORA TAPE,MH-4342,1187,27-Mar-26,RED,,,45.25,,,,,45.25,6,,,,6,,
AT,COLLAR,MH-1396,562,10-Jan-24,,,,48.05,,,,,48.05,4,,,,4,,
AT,TAPE,MH-1396,562,10-Jan-24,,,,36.50,,,,,36.50,4,,,,4,,
AT,FABRIC 50S CTN INTERLOCK,259354C,1034,29-Oct-25,GREY,GREY,,12.20,,,,,12.20,,,,,,,
AT,FABRIC MH LYCRA SINKER,MH-4318,1171,12-Mar-26,RUST,,,522.50,,,,,522.50,20,,,,20,,
AT,RIB 1/1,MH-4318,1171,12-Mar-26,RUST,,,25.75,,,,,25.75,1,,,,1,,
AT,KORA COLLAR,MH-4347,1187,27-Mar-26,BLACK,,,55.55,,,,,55.55,8,,,,8,,
AT,FABRIC MH LYCRA SINKER,MH-INK,844,17-Jan-25,NEON YELLOW,,,142.1,,,,,142.1,11,,,,11,,
AT,COLLAR,MH-3872,1042,5-Nov-25,AIR FORCE,,,48.70,,,,,48.70,3,,,,3,,
AT,COLLAR,MH-3853,1037,1-Nov-25,RFD,RFD,,10.75,,,,,10.75,1,,,,1,,
AT,TAPE,MH-4375,1211,22-Apr-26,CK TONE,,,25.65,,,,,25.65,2,,,,2,,
AT,KORA TAPE,MH-4327,1187,27-Mar-26,OFF WHITE,,,28.15,,,,,28.15,2,,,,2,,
AT,KORA COLLAR,MH-4331,1187,27-Mar-26,BLACK,,,16.30,,,,,16.30,2,,,,2,,
AT,KORA TAPE,MH-4333,1187,27-Mar-26,WHITE,,,28.45,,,,,28.45,4,,,,4,,
AT,KORA TAPE,MH-4341,1187,27-Mar-26,ROYAL,,,15.05,,,,,15.05,2,,,,2,,
AT,KORA COLLAR,MH-4342,1187,27-Mar-26,RED,,,52.7,,,,,52.7,7,,,,7,,
AT,KORA COLLAR,MH-4344,1187,27-Mar-26,ROYAL,,,10.65,,,,,10.65,4,,,,4,,
AT,KORA COLLAR,MH-4348,1187,27-Mar-26,NAVY,,,31.10,,,,,31.10,5,,,,5,,
AT,KORA COLLAR,MH-4349,1187,27-Mar-26,BLACK,,,32.15,,,,,32.15,5,,,,5,,
AT,KORA MH DOUBLE PK NON LYCRA,MH-4326,1180,20-Mar-26,,,,415.10,,,,,415.10,16,,,,16,,
AT,FABRIC 50S CTN INTERLOCK,259354,1034,29-Oct-25,OFF WHITE,SKY,,50.20,,,,,50.20,2,,,,2,,
AT,FABRIC MH LYCRA SINKER GOLD FINISH,MH-3996,1077,5-Dec-25,BLACK,,,292.15,,,,,292.15,12,,,,12,,
AT,KORA COLLAR,MH-4182,1132,5-Feb-26,WHITE,,,51.70,,,,,51.70,4,,,,4,,
AT,KORA COLLAR,MH-4333,1187,27-Mar-26,WHITE,,,33.25,,,,,33.25,4,,,,4,,
AT,KORA COLLAR,MH-4334,1187,27-Mar-26,BLACK,,,20.70,,,,,20.70,2,,,,2,,
AT,KORA COLLAR,MH-4336,1187,27-Mar-26,WHITE,,,34.05,,,,,34.05,3,,,,3,,
AT,KORA COLLAR,MH-4339,1187,27-Mar-26,ROYAL,,,33.75,,,,,33.75,2,,,,2,,
AT,KORA TAPE,MH-4339,1187,27-Mar-26,ROYAL,,,31.45,,,,,31.45,2,,,,2,,
AT,KORA COLLAR,MH-4340,1187,27-Mar-26,CREAM,,,3.45,,,,,3.45,1,,,,1,,
AT,KORA TAPE,MH-4340,1187,27-Mar-26,CREAM,,,3.00,,,,,3.00,1,,,,1,,
AT,KORA COLLAR,MH-4341,1187,27-Mar-26,ROYAL,,,16.7,,,,,16.7,1,,,,1,,
